NOMBRE DEL INDICADOR,Banks,Valor Indicador
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,183.12912
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,1199.63159
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,1.41846
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCURADA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP PROCREDIT,23.45948
CONSUMO QUE NO DEVENGA INTERESES,BP PROCREDIT,58.75599
INMOBILIARIO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP PROCREDIT,26.66689
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP PROCREDIT,465.12561
CONSUMO QUE NO DEVENGA INTERESES,BP PROCREDIT,26.00414
INMOBILIARIO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP PROCREDIT,0.0
TOTAL CARTERA QUE NO DEVENGA INTERES,BP PROCREDIT,12316.19905
CARTERA DE CRÉDITOS PRODUCTIVO VENCIDA,BP PROCREDIT,2667.12096
CARTERA DE CRÉDITOS DE CONSUMO VENCIDA,BP PROCREDIT,147.47334
CARTERA DE CRÉDITOS INMOBILIARIO VENCIDA,BP PROCREDIT,16.5413
CARTERA DE CRÉDITOS PARA MICROCRÉDITO VENCIDA,BP PROCREDIT,562.6871
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA VENCIDA,BP PROCREDIT,1179.04241
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA VENCIDA,BP PROCREDIT,0.50314
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA VENCIDA,BP PROCREDIT,0.001
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA VENCIDA,BP PROCREDIT,154.88498
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA VENCIDA,BP PROCREDIT,1932.69645
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA VENCIDA,BP PROCREDIT,1.00604
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA VENCIDA,BP PROCREDIT,383.09823
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO VENCIDA,BP PROCREDIT,1.39297
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA VENCIDA,BP PROCREDIT,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA VENCIDA,BP PROCREDIT,0.62531
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA VENCIDA,BP PROCREDIT,0.0
PRODUCTIVO VENCIDA,BP PROCREDIT,22.49239
CONSUMO VENCIDA,BP PROCREDIT,1.00459
INMOBILIARIO VENCIDA,BP PROCREDIT,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP PROCREDIT,0.0
MICROCRÉDITO VENCIDA,BP PROCREDIT,15.82622
DE INVERSIÓN PÚBLICA VENCIDA,BP PROCREDIT,0.0
EDUCATIVO VENCIDA,BP PROCREDIT,0.0
PRODUCTIVO VENCIDA,BP PROCREDIT,22.74924
CONSUMO VENCIDA,BP PROCREDIT,0.368
INMOBILIARIO VENCIDA,BP PROCREDIT,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP PROCREDIT,0.0
MICROCRÉDITO VENCIDA,BP PROCREDIT,0.0
DE INVERSIÓN PÚBLICA VENCIDA,BP PROCREDIT,0.0
EDUCATIVO VENCIDA,BP PROCREDIT,0.0
TOTAL CARTERA VENCIDA,BP PROCREDIT,7109.51367
(PROVISIONES PARA CRÉDITOS INCOBRABLES),BP PROCREDIT,-19427.71981
CARTERA POR VENCER INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,27205.54056
CARTERA POR VENCER PRODUCTIVO NUEVO,BP PROCREDIT,293963.69323
CARTERA POR VENCER CONSUMO,BP PROCREDIT,12659.5565
CARTERA POR VENCER INMOBILIARIO,BP PROCREDIT,27205.54056
CARTERA POR VENCER MICROCRÉDITO,BP PROCREDIT,150830.9455
CARTERA POR VENCER VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
CARTERA POR VENCER EDUCATIVO,BP PROCREDIT,25.23249
CARTERA POR VENCER INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
TOTAL CARTERA DE CRÉDITO POR VENCER,BP PROCREDIT,484684.96828
CARTERA IMPRODUCTIVA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,237.03117
CARTERA IMPRODUCTIVA PRODUCTIVO NUEVO,BP PROCREDIT,14253.94556
CARTERA IMPRODUCTIVA CONSUMO,BP PROCREDIT,401.27656
CARTERA IMPRODUCTIVA INMOBILIARIO,BP PROCREDIT,237.03117
CARTERA IMPRODUCTIVA MICROCRÉDITO,BP PROCREDIT,4530.02269
CARTERA IMPRODUCTIVA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
CARTERA IMPRODUCTIVA EDUCATIVO,BP PROCREDIT,3.43674
CARTERA IMPRODUCTIVA INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
TOTAL CARTERA IMPRODUCTIVA  (NO DEVENGA INTERESES + VENCIDA),BP PROCREDIT,19425.71272
CARTERA BRUTA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,27442.57173
CARTERA BRUTA PRODUCTIVO NUEVO,BP PROCREDIT,308217.63879
CARTERA BRUTA CONSUMO,BP PROCREDIT,13060.83306
CARTERA BRUTA INMOBILIARIO,BP PROCREDIT,27442.57173
CARTERA BRUTA MICROCRÉDITO,BP PROCREDIT,155360.96819
CARTERA BRUTA VIVIENDA DE INTERÉS SOCIAL Y  PÚBLICO,BP PROCREDIT,0.0
CARTERA BRUTA EDUCATIVO,BP PROCREDIT,28.66923
CARTERA BRUTA INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
TOTAL DE CRÉDITO CARTERA BRUTA,BP PROCREDIT,504110.681
PROVISIONES CARTERA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,346.77475
PROVISIONES CARTERA PRODUCTIVO NUEVO,BP PROCREDIT,12982.20765
PROVISIONES CARTERA CONSUMO,BP PROCREDIT,423.20859
PROVISIONES CARTERA INMOBILIARIO,BP PROCREDIT,346.77475
PROVISIONES CARTERA MICROCRÉDITO,BP PROCREDIT,5673.06601
PROVISIONES CARTERA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
PROVISIONES CARTERA EDUCATIVO,BP PROCREDIT,2.46281
PROVISIONES CARTERA INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
PROV TOT CARTERA REFINANCIADA,BP PROCREDIT,3251.5912
PROV TOT CARTERA REESTRUCTURADA,BP PROCREDIT,6677.48083
(Provisiones para créditos incobrables),BP PROCREDIT,-19427.71981
(CARTERA DE CRÉDITOS PRODUCTIVO),BP PROCREDIT,5876.05317
PROVISIÓN CARTERA REFINANCIADA PRODUCTIVO,BP PROCREDIT,2240.94467
PROVISIÓN CARTERA REESTRUCTURADA PRODUCTIVO,BP PROCREDIT,4865.20981
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA PRODUCTIVO,BP PROCREDIT,0.0
PROVISIONES CARTERA PRODUCTIVO NUEVO,BP PROCREDIT,12982.20765
(CARTERA DE CRÉDITOS DE CONSUMO),BP PROCREDIT,399.20352
PROVISIÓN CARTERA REFINANCIADA DE CONSUMO,BP PROCREDIT,11.21364
PROVISIÓN CARTERA REESTRUCTURADA DE CONSUMO,BP PROCREDIT,12.79143
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE CONSUMO,BP PROCREDIT,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA CONSUMO,BP PROCREDIT,0.0
PROVISIONES CARTERA CONSUMO,BP PROCREDIT,423.20859
(CARTERA DE CRÉDITOS INMOBILIARIO),BP PROCREDIT,315.21246
PROVISIÓN CARTERA REFINANCIADA INMOBILIARIO,BP PROCREDIT,13.14877
PROVISIÓN CARTERA REESTRUCTURADA INMOBILIARIO,BP PROCREDIT,18.41352
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA INMOBILIARIO,BP PROCREDIT,0.0
PROVISIONES CARTERA INMOBILIARIO,BP PROCREDIT,346.77475
(CARTERA DE CRÉDITOS PARA MICROCRÉDITO),BP PROCREDIT,2906.54414
PROVISIÓN CARTERA REFINANCIADA MICROCRÉDITO,BP PROCREDIT,986.27331
PROVISIÓN CARTERA REESTRUCTURADA MICROCRÉDITO,BP PROCREDIT,1780.24856
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE MICROCRÉDITO,BP PROCREDIT,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE MICROCRÉDITO,BP PROCREDIT,0.0
PROVISIONES CARTERA MICROCRÉDITO,BP PROCREDIT,5673.06601
(CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO),BP PROCREDIT,0.0
PROVISIÓN CARTERA REFINANCIADA DE VIVIENDA DE INTERÉS PÚBLICO,BP PROCREDIT,0.0
PROVISIÓN CARTERA REESTRUCTURADA DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
PROVISIONES CARTERA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP PROCREDIT,0.0
(CARTERA DE CRÉDITO EDUCATIVO),BP PROCREDIT,1.63449
PROVISIÓN GENÉRICA POR TECNOLOGÍA CREDITICIA CARTERA DE CRÉDITO EDUCATIVO,BP PROCREDIT,0.0
PROVISIÓN CARTERA REFINANCIADA EDUCATIVO,BP PROCREDIT,0.01081
PROVISIÓN CARTERA REESTRUCTURADA EDUCATIVO,BP PROCREDIT,0.81751
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE CRÉDITO EDUCATIVO,BP PROCREDIT,0.0
PROVISIONES CARTERA EDUCATIVO,BP PROCREDIT,2.46281
(CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA),BP PROCREDIT,0.0
PROVISIÓN CARTERA REFINANCIADA DE INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
PROVISIÓN CARTERA REESTRUCTURADA DE INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
PROVISIÓN GENÉRICA VOLUNTARIA CARTERA DE INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
PROVISIONES CARTERA INVERSIÓN PÚBLICA,BP PROCREDIT,0.0
PROVISIONES CARTERA REFINANCIADA,BP PROCREDIT,3251.5912
 CARTERA REFINANCIADA IMPRODUCTIVA,BP PROCREDIT,4016.87925
PROVISIONES CARTERA REESTRUCTURADA,BP PROCREDIT,6677.48083
CARTERA REESTRUCTURADA IMPRODUCTIVA,BP PROCREDIT,8170.34564
 CARTERA ORIGINAL,BP PROCREDIT,455600.91499
COMERCIAL AGREGADA,BP PROCREDIT,274882.61314
CONSUMO AGREGADA,BP PROCREDIT,12553.12759
INMOBILIARIA Y VIVIENDA DE INTERÉS PÚBLICO,BP PROCREDIT,25956.59519
MICROCRÉDITO,BP PROCREDIT,142183.03427
EDUCATIVO,BP PROCREDIT,25.5448
CARTERA REFINANCIADA,BP PROCREDIT,28978.3742
COMERCIAL AGREGADA,BP PROCREDIT,17365.28929
CONSUMO AGREGADA,BP PROCREDIT,468.06201
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,1301.84138
MICROCRÉDITO,BP PROCREDIT,9842.10086
EDUCATIVO,BP PROCREDIT,1.08066
CARTERA REESTRUCTURADA,BP PROCREDIT,19531.39181
COMERCIAL AGREGADA,BP PROCREDIT,15969.73636
CONSUMO AGREGADA,BP PROCREDIT,39.64346
INMOBILIARIA Y VIVIENDA DE INTERES PÚBLICO,BP PROCREDIT,184.13516
MICROCRÉDITO,BP PROCREDIT,3335.83306
EDUCATIVO,BP PROCREDIT,2.04377
CARTERA BRUTA,BP AMAZONAS,235759.80503
CARTERA DE CRÉDITOS PRODUCTIVO POR VENCER,BP AMAZONAS,109535.67161
CARTERA DE CRÉDITOS DE CONSUMO POR VENCER,BP AMAZONAS,100108.121
CARTERA DE CRÉDITOS INMOBILIARIO POR VENCER,BP AMAZONAS,3590.6786
CARTERA DE CRÉDITOS PARA MICROCRÉDITO POR VENCER,BP AMAZONAS,6489.54293
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA POR VENCER,BP AMAZONAS,1067.82785
CARTERA DE CRÉDITOS CONSUMO REFINANCIADA POR VENCER,BP AMAZONAS,4603.89487
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA POR VENCER,BP AMAZONAS,644.71763
CARTERA DE CRÉDITOS DE CONSUMO  REESTRUCTURADA POR VENCER,BP AMAZONAS,1769.67176
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA POR VENCER,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA POR VENCER,BP AMAZONAS,0.0
PRODUCTIVO POR VENCER,BP AMAZONAS,0.0
CONSUMO POR VENCER,BP AMAZONAS,28.58822
INMOBILIARIO POR VENCER,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AMAZONAS,0.0
MICROCRÉDITO POR VENCER,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA POR VENCER,BP AMAZONAS,0.0
EDUCATIVO POR VENCER,BP AMAZONAS,0.0
PRODUCTIVO POR VENCER,BP AMAZONAS,0.0
CONSUMO POR VENCER,BP AMAZONAS,55.35703
INMOBILIARIO POR VENCER,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO POR VENCER,BP AMAZONAS,0.0
MICROCRÉDITO POR VENCER,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA POR VENCER,BP AMAZONAS,0.0
EDUCATIVO POR VENCER,BP AMAZONAS,0.0
TOTAL CARTERA POR VENCER,BP AMAZONAS,227894.0715
CARTERA DE CRÉDITOS PRODUCTIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,350.15291
CARTERA DE CRÉDITOS DE CONSUMO QUE NO DEVENGA INTERESES,BP AMAZONAS,1212.02603
CARTERA DE CRÉDITOS INMOBILIARIO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,104.94271
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,471.77613
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,572.76943
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCURADA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CONSUMO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.7832
INMOBILIARIO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
PRODUCTIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
CONSUMO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.91775
INMOBILIARIO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
MICROCRÉDITO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
EDUCATIVO QUE NO DEVENGA INTERESES,BP AMAZONAS,0.0
TOTAL CARTERA QUE NO DEVENGA INTERES,BP AMAZONAS,2713.36816
CARTERA DE CRÉDITOS PRODUCTIVO VENCIDA,BP AMAZONAS,818.09256
CARTERA DE CRÉDITOS DE CONSUMO VENCIDA,BP AMAZONAS,2838.59229
CARTERA DE CRÉDITOS INMOBILIARIO VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO VENCIDA,BP AMAZONAS,6.97639
CARTERA DE CRÉDITOS DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REFINANCIADA VENCIDA,BP AMAZONAS,204.67435
CARTERA DE CRÉDITOS DE CONSUMO REFINANCIADA VENCIDA,BP AMAZONAS,675.65121
CARTERA DE CRÉDITOS INMOBILIARIO REFINANCIADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REFINANCIADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REFINANCIADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PRODUCTIVO REESTRUCTURADA VENCIDA,BP AMAZONAS,57.76778
CARTERA DE CRÉDITOS DE CONSUMO REESTRUCTURADA VENCIDA,BP AMAZONAS,538.41921
CARTERA DE CRÉDITOS INMOBILIARIO REESTRUCTURADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITOS PARA MICROCRÉDITO REESTRUCTURADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO REESTRUCTURADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REFINANCIADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REFINANCIADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO EDUCATIVO REESTRUCTURADA VENCIDA,BP AMAZONAS,0.0
CARTERA DE CRÉDITO DE INVERSIÓN PÚBLICA REESTRUCTURADA VENCIDA,BP AMAZONAS,0.0
PRODUCTIVO VENCIDA,BP AMAZONAS,0.0
CONSUMO VENCIDA,BP AMAZONAS,11.20212
INMOBILIARIO VENCIDA,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AMAZONAS,0.0
MICROCRÉDITO VENCIDA,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA VENCIDA,BP AMAZONAS,0.0
EDUCATIVO VENCIDA,BP AMAZONAS,0.0
PRODUCTIVO VENCIDA,BP AMAZONAS,0.0
CONSUMO VENCIDA,BP AMAZONAS,0.98946
INMOBILIARIO VENCIDA,BP AMAZONAS,0.0
VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO VENCIDA,BP AMAZONAS,0.0
MICROCRÉDITO VENCIDA,BP AMAZONAS,0.0
DE INVERSIÓN PÚBLICA VENCIDA,BP AMAZONAS,0.0
EDUCATIVO VENCIDA,BP AMAZONAS,0.0
TOTAL CARTERA VENCIDA,BP AMAZONAS,5152.36537
(PROVISIONES PARA CRÉDITOS INCOBRABLES),BP AMAZONAS,-11452.7645
CARTERA POR VENCER INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AMAZONAS,3590.6786
CARTERA POR VENCER PRODUCTIVO NUEVO,BP AMAZONAS,111248.21709
CARTERA POR VENCER CONSUMO,BP AMAZONAS,106565.63288
CARTERA POR VENCER INMOBILIARIO,BP AMAZONAS,3590.6786
CARTERA POR VENCER MICROCRÉDITO,BP AMAZONAS,6489.54293
CARTERA POR VENCER VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AMAZONAS,0.0
CARTERA POR VENCER EDUCATIVO,BP AMAZONAS,0.0
CARTERA POR VENCER INVERSIÓN PÚBLICA,BP AMAZONAS,0.0
TOTAL CARTERA DE CRÉDITO POR VENCER,BP AMAZONAS,227894.0715
CARTERA IMPRODUCTIVA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AMAZONAS,0.0
CARTERA IMPRODUCTIVA PRODUCTIVO NUEVO,BP AMAZONAS,1535.63031
CARTERA IMPRODUCTIVA CONSUMO,BP AMAZONAS,6323.12683
CARTERA IMPRODUCTIVA INMOBILIARIO,BP AMAZONAS,0.0
CARTERA IMPRODUCTIVA MICROCRÉDITO,BP AMAZONAS,6.97639
CARTERA IMPRODUCTIVA VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,BP AMAZONAS,0.0
CARTERA IMPRODUCTIVA EDUCATIVO,BP AMAZONAS,0.0
CARTERA IMPRODUCTIVA INVERSIÓN PÚBLICA,BP AMAZONAS,0.0
TOTAL CARTERA IMPRODUCTIVA  (NO DEVENGA INTERESES + VENCIDA),BP AMAZONAS,7865.73353
CARTERA BRUTA INMOBILIARIA Y DE VIVIENDA DE INTERES PÚBLICO,BP AMAZONAS,3590.6786
CARTERA BRUTA PRODUCTIVO NUEVO,BP AMAZONAS,112783.8474
CARTERA BRUTA CONSUMO,BP AMAZONAS,112888.75971
CARTERA BRUTA INMOBILIARIO,BP AMAZONAS,3590.6786
CARTERA BRUTA MICROCRÉDITO,BP AMAZONAS,6496.51932
CARTERA BRUTA VIVIENDA DE INTERÉS SOCIAL Y  PÚBLICO,BP AMAZONAS,0.0
CARTERA BRUTA EDUCATIVO,BP AMAZONAS,0.0
